;Y;TOP0_CHAMP;TOP0_LVL;TOP0_TOTAL;TOP0_GWR;TOP0_VET;TOP0_RANK;TOP0_HOT;TOP0_KDAG;TOP0_KDA;TOP0_WR;TOP0_NB;TOP0_FILL;JGL0_CHAMP;JGL0_LVL;JGL0_TOTAL;JGL0_GWR;JGL0_VET;JGL0_RANK;JGL0_HOT;JGL0_KDAG;JGL0_KDA;JGL0_WR;JGL0_NB;JGL0_FILL;MID0_CHAMP;MID0_LVL;MID0_TOTAL;MID0_GWR;MID0_VET;MID0_RANK;MID0_HOT;MID0_KDAG;MID0_KDA;MID0_WR;MID0_NB;MID0_FILL;ADC0_CHAMP;ADC0_LVL;ADC0_TOTAL;ADC0_GWR;ADC0_VET;ADC0_RANK;ADC0_HOT;ADC0_KDAG;ADC0_KDA;ADC0_WR;ADC0_NB;ADC0_FILL;SUP0_CHAMP;SUP0_LVL;SUP0_TOTAL;SUP0_GWR;SUP0_VET;SUP0_RANK;SUP0_HOT;SUP0_KDAG;SUP0_KDA;SUP0_WR;SUP0_NB;SUP0_FILL;TOP1_CHAMP;TOP1_LVL;TOP1_TOTAL;TOP1_GWR;TOP1_VET;TOP1_RANK;TOP1_HOT;TOP1_KDAG;TOP1_KDA;TOP1_WR;TOP1_NB;TOP1_FILL;JGL1_CHAMP;JGL1_LVL;JGL1_TOTAL;JGL1_GWR;JGL1_VET;JGL1_RANK;JGL1_HOT;JGL1_KDAG;JGL1_KDA;JGL1_WR;JGL1_NB;JGL1_FILL;MID1_CHAMP;MID1_LVL;MID1_TOTAL;MID1_GWR;MID1_VET;MID1_RANK;MID1_HOT;MID1_KDAG;MID1_KDA;MID1_WR;MID1_NB;MID1_FILL;ADC1_CHAMP;ADC1_LVL;ADC1_TOTAL;ADC1_GWR;ADC1_VET;ADC1_RANK;ADC1_HOT;ADC1_KDAG;ADC1_KDA;ADC1_WR;ADC1_NB;ADC1_FILL;SUP1_CHAMP;SUP1_LVL;SUP1_TOTAL;SUP1_GWR;SUP1_VET;SUP1_RANK;SUP1_HOT;SUP1_KDAG;SUP1_KDA;SUP1_WR;SUP1_NB;SUP1_FILL
EUW1_6140228604;False;KSante;481;237;0.5063291139240507;False;['PLATINUM', 'II', 0];False;[7.2, 5.8, 3.6];[3.0, 3.0, 8.0];1.0;1;False;Udyr;136;309;0.49838187702265374;False;['GOLD', 'III', 64];False;[6.0, 7.6, 9.6];[7.0, 7.25, 9.75];0.5;4;False;Vex;287;514;0.48443579766536965;False;['GOLD', 'IV', 75];False;[5.6, 8.2, 7.8];[0.0, 0.0, 0.0];0.5;0;True;Kaisa;120;1110;0.5009009009009009;False;['PLATINUM', 'IV', 17];False;[6.6, 5.4, 6.2];[0.0, 0.0, 0.0];0.5;0;False;Soraka;278;485;0.4824742268041237;False;['PLATINUM', 'IV', 60];False;[5.4, 7.6, 10.6];[0.0, 0.0, 0.0];0.5;0;True;Shen;243;100;0.52;False;['GOLD', 'I', 69];False;[5.8, 4.4, 9.0];[5.8, 4.4, 9.0];0.4;5;False;Nocturne;237;606;0.4966996699669967;False;['GOLD', 'III', 60];False;[8.0, 8.0, 11.4];[8.666666666666666, 6.0, 9.333333333333334];0.3333333333333333;3;False;Zoe;715;204;0.5392156862745098;False;['PLATINUM', 'IV', 1];True;[4.6, 2.6, 8.6];[5.75, 2.5, 10.5];1.0;4;False;Jhin;37;88;0.5340909090909091;False;['PLATINUM', 'IV', 20];False;[4.0, 10.4, 11.6];[0.0, 0.0, 0.0];0.5;0;True;Karma;201;171;0.543859649122807;False;['GOLD', 'I', 100];False;[1.0, 3.0, 13.8];[0.0, 0.0, 0.0];0.5;0;False
EUW1_6141546191;False;Sett;323;27;0.4074074074074074;False;['GOLD', 'IV', 71];False;[6.6, 5.2, 4.8];[7.0, 5.0, 5.75];1.0;4;False;Hecarim;159;1039;0.5120307988450433;False;['PLATINUM', 'II', 41];False;[5.6, 3.8, 7.0];[0.0, 0.0, 0.0];0.5;0;False;Sylas;410;799;0.4806007509386733;False;['PLATINUM', 'II', 63];False;[2.8, 3.4, 9.4];[4.0, 7.0, 5.0];0.0;1;True;Caitlyn;545;424;0.5070754716981132;False;['PLATINUM', 'II', 14];False;[11.8, 5.4, 9.0];[14.0, 2.0, 3.0];1.0;1;False;Lux;672;1162;0.4991394148020654;False;['PLATINUM', 'III', 55];False;[5.4, 6.6, 6.4];[1.5, 2.5, 8.5];0.5;2;True;KSante;491;1111;0.5067506750675067;False;['PLATINUM', 'II', 22];False;[6.4, 5.6, 7.2];[4.75, 5.75, 6.75];0.25;4;False;Evelynn;421;406;0.5073891625615764;False;['PLATINUM', 'II', 28];False;[7.4, 4.4, 5.2];[9.5, 4.5, 4.5];0.5;2;False;Zed;384;1493;0.49497655726724715;False;['PLATINUM', 'I', 46];False;[5.2, 6.0, 4.6];[4.0, 2.0, 0.0];0.0;1;False;Jhin;399;553;0.5063291139240507;False;['PLATINUM', 'II', 37];False;[4.2, 3.4, 4.6];[4.2, 3.4, 4.6];0.4;5;False;Xerath;137;216;0.5601851851851852;False;['PLATINUM', 'II', 25];False;[7.8, 8.6, 5.4];[0.0, 0.0, 0.0];0.5;0;True
EUW1_6140416681;False;Akali;342;22;0.5;False;['SILVER', 'I', 22];False;[3.6, 4.0, 13.2];[0.0, 0.0, 0.0];0.5;0;True;Amumu;313;36;0.4444444444444444;False;['GOLD', 'IV', 81];False;[3.4, 3.4, 6.4];[0.0, 0.0, 0.0];0.5;0;True;Yasuo;703;204;0.4852941176470588;False;['PLATINUM', 'IV', 0];False;[6.6, 6.6, 5.8];[0.0, 0.0, 0.0];0.5;0;True;Samira;418;32;0.4375;False;['SILVER', 'IV', 25];False;[3.8, 5.4, 6.8];[0.0, 0.0, 0.0];0.5;0;True;Malphite;486;169;0.47928994082840237;False;['GOLD', 'IV', 31];False;[4.4, 3.0, 9.4];[0.0, 0.0, 0.0];0.5;0;True;Singed;473;454;0.486784140969163;False;['PLATINUM', 'IV', 1];False;[10.4, 8.2, 7.0];[5.0, 12.0, 5.0];0.0;1;True;Rengar;195;252;0.48412698412698413;False;['GOLD', 'IV', 0];False;[8.2, 6.2, 6.0];[0.0, 0.0, 0.0];0.5;0;False;Anivia;235;272;0.5110294117647058;False;['PLATINUM', 'III', 44];False;[3.4, 4.8, 12.4];[2.0, 4.0, 6.0];0.0;2;False;Seraphine;336;470;0.502127659574468;False;['SILVER', 'I', 22];False;[0.6, 8.0, 11.2];[0.0, 0.0, 0.0];0.5;0;True;Senna;256;514;0.5408560311284046;False;['GOLD', 'IV', 34];False;[8.0, 5.8, 7.4];[0.0, 0.0, 0.0];0.5;0;True
EUW1_6139592219;False;Warwick;42;68;0.5441176470588235;False;['GOLD', 'I', 30];False;[5.8, 6.8, 4.0];[6.0, 8.5, 5.0];0.5;2;False;Graves;42;69;0.5507246376811594;False;['GOLD', 'I', 61];False;[7.4, 4.6, 7.0];[0.0, 0.0, 0.0];0.5;0;False;Katarina;406;387;0.5012919896640827;False;['PLATINUM', 'III', 0];False;[8.2, 10.4, 7.4];[8.333333333333334, 8.666666666666666, 4.0];0.0;3;False;MissFortune;56;310;0.5258064516129032;False;['PLATINUM', 'III', 51];False;[7.8, 11.0, 7.6];[0.0, 0.0, 0.0];0.5;0;False;Senna;78;254;0.49606299212598426;False;['PLATINUM', 'IV', 60];False;[3.4, 7.0, 9.4];[0.0, 0.0, 0.0];0.5;0;True;Sett;149;128;0.5546875;False;['PLATINUM', 'III', 53];False;[3.0, 7.8, 4.0];[3.5, 7.25, 4.75];0.25;4;False;Udyr;67;70;0.5857142857142857;False;['PLATINUM', 'II', 6];False;[2.8, 7.6, 13.8];[3.0, 9.0, 10.0];1.0;2;False;Lissandra;418;813;0.4907749077490775;False;['PLATINUM', 'III', 34];False;[5.4, 6.6, 8.6];[8.0, 7.5, 13.5];0.5;2;False;Caitlyn;351;778;0.4974293059125964;False;['PLATINUM', 'IV', 63];False;[4.8, 8.0, 8.4];[5.25, 8.5, 8.25];0.5;4;False;Karma;177;229;0.5938864628820961;False;['PLATINUM', 'II', 16];False;[8.2, 5.4, 11.6];[6.0, 2.0, 16.0];1.0;1;True
EUW1_6045620377;True;Aatrox;307;215;0.5116279069767442;False;['PLATINUM', 'IV', 0];False;[6.4, 3.6, 5.8];[0.0, 0.0, 0.0];0.5;0;True;Evelynn;679;633;0.5244865718799369;False;['DIAMOND', 'IV', 1];False;[10.0, 6.6, 7.4];[0.0, 0.0, 0.0];0.5;0;True;Taliyah;687;722;0.5166204986149584;False;['DIAMOND', 'IV', 30];False;[3.8, 8.8, 7.2];[0.0, 0.0, 0.0];0.5;0;True;Caitlyn;441;620;0.5064516129032258;False;['PLATINUM', 'IV', 15];False;[5.4, 2.6, 5.8];[8.0, 1.0, 2.0];1.0;1;True;Yuumi;160;1018;0.4793713163064833;False;['GOLD', 'IV', 60];False;[5.0, 6.4, 2.8];[0.0, 0.0, 0.0];0.5;0;True;Irelia;705;737;0.4993215739484396;False;['PLATINUM', 'III', 79];False;[4.2, 2.8, 7.6];[0.0, 0.0, 0.0];0.5;0;True;Skarner;552;218;0.481651376146789;True;['PLATINUM', 'IV', 0];False;[9.6, 8.2, 9.2];[0.0, 0.0, 0.0];0.5;0;False;Rumble;225;1100;0.52;False;['PLATINUM', 'I', 39];False;[4.8, 4.2, 6.8];[0.0, 0.0, 0.0];0.5;0;False;Ezreal;68;358;0.4860335195530726;False;['PLATINUM', 'IV', 11];False;[3.2, 8.2, 12.8];[0.0, 0.0, 0.0];0.5;0;True;Ashe;558;191;0.4712041884816754;False;['PLATINUM', 'III', 30];False;[1.6, 6.8, 11.4];[0.0, 0.0, 0.0];0.5;0;False
EUW1_6135246508;True;Fiora;61;142;0.5633802816901409;False;['PLATINUM', 'IV', 60];False;[4.4, 6.8, 4.8];[0.0, 0.0, 0.0];0.5;0;True;Khazix;44;164;0.5121951219512195;False;['PLATINUM', 'III', 0];False;[5.8, 9.2, 7.4];[0.0, 0.0, 0.0];0.5;0;True;Swain;396;521;0.5028790786948176;False;['PLATINUM', 'II', 28];False;[7.8, 8.2, 10.4];[0.0, 0.0, 0.0];0.5;0;True;Aphelios;176;96;0.7083333333333334;False;['GOLD', 'I', 100];False;[9.8, 5.2, 10.8];[0.0, 0.0, 0.0];0.5;0;True;Renata;41;142;0.5070422535211268;False;['PLATINUM', 'IV', 43];False;[1.8, 9.6, 16.8];[1.8, 9.6, 16.8];0.4;5;False;Yasuo;251;819;0.5091575091575091;False;['PLATINUM', 'II', 30];False;[5.8, 7.4, 7.2];[0.0, 7.0, 2.0];0.0;1;True;Elise;519;451;0.49889135254988914;False;['PLATINUM', 'III', 12];False;[8.8, 5.0, 9.0];[14.0, 4.0, 11.0];1.0;2;False;Vex;545;846;0.4940898345153664;False;['PLATINUM', 'III', 3];False;[4.6, 6.4, 10.4];[0.0, 0.0, 0.0];0.5;0;True;Draven;90;219;0.5296803652968036;False;['DIAMOND', 'IV', 0];False;[8.8, 3.4, 5.0];[14.0, 7.0, 9.0];0.0;1;False;Soraka;73;69;0.5072463768115942;False;['GOLD', 'I', 72];True;[1.0, 3.8, 12.4];[1.0, 3.8, 12.4];0.8;5;False
EUW1_6139522758;False;Camille;78;588;0.5;False;['PLATINUM', 'II', 44];False;[6.4, 5.4, 4.4];[13.0, 7.0, 2.0];0.0;1;False;Rengar;254;983;0.5005086469989827;False;['PLATINUM', 'III', 25];False;[9.0, 6.8, 6.2];[8.666666666666666, 4.333333333333333, 6.666666666666667];1.0;3;False;Ekko;514;907;0.5049614112458655;False;['PLATINUM', 'II', 44];False;[4.0, 6.4, 5.4];[3.0, 7.0, 2.0];0.0;1;False;Kaisa;464;378;0.5;False;['PLATINUM', 'III', 75];False;[9.8, 2.6, 4.6];[12.0, 2.0, 6.333333333333333];1.0;3;False;Thresh;390;991;0.5105953582240161;False;['PLATINUM', 'III', 34];False;[4.2, 8.0, 9.0];[0.0, 0.0, 0.0];0.5;0;False;KSante;509;579;0.48186528497409326;False;['PLATINUM', 'III', 0];False;[3.6, 4.8, 3.0];[2.5, 6.0, 5.5];0.0;2;False;Graves;362;241;0.5062240663900415;False;['PLATINUM', 'I', 38];False;[4.4, 3.8, 6.8];[6.333333333333333, 3.3333333333333335, 8.666666666666666];0.3333333333333333;3;False;Fizz;95;129;0.5116279069767442;False;['PLATINUM', 'III', 84];False;[6.6, 3.2, 8.4];[12.0, 3.0, 9.5];1.0;2;False;Caitlyn;458;1178;0.5;False;['PLATINUM', 'II', 50];False;[3.2, 5.0, 3.6];[0.0, 0.0, 0.0];0.5;0;True;Renata;451;829;0.5138721351025332;False;['PLATINUM', 'I', 57];False;[2.0, 9.8, 20.8];[2.0, 6.0, 26.0];1.0;1;False
EUW1_6016231829;True;Shen;232;592;0.49493243243243246;True;['PLATINUM', 'IV', 74];False;[7.0, 10.6, 8.0];[0.0, 0.0, 0.0];0.5;0;True;Shyvana;68;265;0.5358490566037736;False;['DIAMOND', 'IV', 19];False;[4.6, 4.4, 8.2];[0.0, 0.0, 0.0];0.5;0;False;Sylas;78;99;0.5252525252525253;False;['PLATINUM', 'III', 20];False;[6.6, 6.4, 7.2];[5.0, 3.0, 5.0];0.0;1;False;Ezreal;521;1497;0.5050100200400801;False;['PLATINUM', 'III', 61];False;[4.2, 10.4, 8.4];[0.0, 0.0, 0.0];0.5;0;True;Zilean;560;976;0.5081967213114754;False;['PLATINUM', 'IV', 15];False;[6.0, 8.0, 12.6];[0.0, 0.0, 0.0];0.5;0;False;Irelia;48;179;0.5363128491620112;False;['PLATINUM', 'II', 31];False;[3.6, 5.2, 5.4];[0.0, 0.0, 0.0];0.5;0;True;Skarner;94;160;0.55625;False;['PLATINUM', 'IV', 30];False;[7.8, 9.8, 9.0];[0.0, 0.0, 0.0];0.5;0;False;Zed;443;692;0.4884393063583815;False;['PLATINUM', 'III', 29];False;[4.0, 7.2, 8.2];[0.0, 0.0, 0.0];0.5;0;False;Cassiopeia;201;266;0.5451127819548872;False;['PLATINUM', 'III', 29];False;[6.2, 10.2, 6.2];[7.5, 10.0, 6.5];0.5;4;False;Amumu;53;149;0.5570469798657718;False;['PLATINUM', 'I', 75];False;[1.6, 3.4, 13.8];[0.0, 0.0, 0.0];0.5;0;False
EUW1_6121182130;False;Ornn;265;192;0.5208333333333334;False;['PLATINUM', 'III', 5];True;[5.4, 3.0, 5.8];[6.0, 5.0, 9.0];0.0;1;False;Belveth;230;288;0.53125;False;['PLATINUM', 'III', 0];False;[4.0, 7.6, 5.4];[8.0, 9.0, 7.0];0.0;1;False;Zed;176;344;0.5552325581395349;False;['PLATINUM', 'III', 13];False;[3.4, 6.8, 3.6];[4.0, 7.0, 8.0];0.0;2;False;Zeri;81;256;0.49609375;False;['PLATINUM', 'II', 0];False;[8.8, 6.8, 7.0];[0.0, 0.0, 0.0];0.5;0;False;Thresh;263;111;0.5315315315315315;False;['PLATINUM', 'IV', 22];False;[5.4, 5.0, 8.6];[4.0, 4.0, 14.0];1.0;1;True;Camille;356;69;0.4927536231884058;False;['PLATINUM', 'II', 48];False;[3.0, 4.6, 3.6];[0.0, 0.0, 0.0];0.5;0;False;Talon;261;209;0.49282296650717705;True;['PLATINUM', 'IV', 0];False;[11.0, 6.6, 6.0];[0.0, 0.0, 0.0];0.5;0;True;Malzahar;685;1165;0.5055793991416309;False;['PLATINUM', 'III', 54];False;[10.0, 7.8, 5.6];[0.0, 0.0, 0.0];0.5;0;False;Samira;488;282;0.5319148936170213;False;['PLATINUM', 'I', 59];False;[8.0, 5.0, 7.4];[0.0, 0.0, 0.0];0.5;0;True;Lulu;311;315;0.49523809523809526;False;['PLATINUM', 'II', 42];False;[1.8, 6.6, 12.6];[1.8, 6.6, 12.6];0.4;5;False
EUW1_6083671143;True;Darius;55;269;0.5427509293680297;False;['PLATINUM', 'II', 68];False;[9.6, 8.4, 7.4];[0.0, 0.0, 0.0];0.5;0;True;MasterYi;45;190;0.5263157894736842;False;['PLATINUM', 'III', 0];False;[15.2, 10.2, 5.4];[0.0, 0.0, 0.0];0.5;0;True;Gragas;260;38;0.6842105263157895;False;['GOLD', 'I', 52];False;[2.0, 5.4, 6.4];[0.0, 3.0, 6.0];1.0;1;True;Kaisa;524;769;0.48634590377113135;False;['PLATINUM', 'IV', 0];False;[9.0, 9.0, 4.4];[0.0, 0.0, 0.0];0.5;0;True;Thresh;635;1752;0.5045662100456622;False;['PLATINUM', 'III', 73];False;[4.0, 4.4, 14.0];[2.5, 2.5, 23.0];1.0;2;False;Pantheon;355;545;0.5302752293577981;False;['PLATINUM', 'II', 33];False;[6.4, 10.0, 6.4];[0.0, 0.0, 0.0];0.5;0;False;Zac;100;235;0.5063829787234042;False;['PLATINUM', 'IV', 97];False;[3.8, 4.4, 9.8];[3.8, 4.4, 9.8];0.6;5;False;Viktor;134;370;0.518918918918919;False;['PLATINUM', 'III', 0];False;[5.6, 4.2, 10.0];[0.0, 0.0, 0.0];0.5;0;True;Ezreal;59;312;0.5224358974358975;False;['PLATINUM', 'III', 19];False;[5.8, 7.4, 6.0];[0.0, 0.0, 0.0];0.5;0;False;Soraka;687;670;0.48208955223880595;False;['PLATINUM', 'IV', 60];False;[1.8, 7.4, 9.0];[0.0, 0.0, 0.0];0.5;0;False
