,Y,TOP0_LVL,TOP0_TOTAL,TOP0_GWR,TOP0_WR,TOP0_NB,TOP0_HOT,TOP0_FILL,TOP0_RANK,TOP0_KDA,TOP0_KDAG,TOP0_VS,TOP0_MAS,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_LVL,JGL0_TOTAL,JGL0_GWR,JGL0_WR,JGL0_NB,JGL0_HOT,JGL0_FILL,JGL0_RANK,JGL0_KDA,JGL0_KDAG,JGL0_VS,JGL0_MAS,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_LVL,MID0_TOTAL,MID0_GWR,MID0_WR,MID0_NB,MID0_HOT,MID0_FILL,MID0_RANK,MID0_KDA,MID0_KDAG,MID0_VS,MID0_MAS,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_LVL,ADC0_TOTAL,ADC0_GWR,ADC0_WR,ADC0_NB,ADC0_HOT,ADC0_FILL,ADC0_RANK,ADC0_KDA,ADC0_KDAG,ADC0_VS,ADC0_MAS,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_LVL,SUP0_TOTAL,SUP0_GWR,SUP0_WR,SUP0_NB,SUP0_HOT,SUP0_FILL,SUP0_RANK,SUP0_KDA,SUP0_KDAG,SUP0_VS,SUP0_MAS,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_LVL,TOP1_TOTAL,TOP1_GWR,TOP1_WR,TOP1_NB,TOP1_HOT,TOP1_FILL,TOP1_RANK,TOP1_KDA,TOP1_KDAG,TOP1_VS,TOP1_MAS,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_LVL,JGL1_TOTAL,JGL1_GWR,JGL1_WR,JGL1_NB,JGL1_HOT,JGL1_FILL,JGL1_RANK,JGL1_KDA,JGL1_KDAG,JGL1_VS,JGL1_MAS,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_LVL,MID1_TOTAL,MID1_GWR,MID1_WR,MID1_NB,MID1_HOT,MID1_FILL,MID1_RANK,MID1_KDA,MID1_KDAG,MID1_VS,MID1_MAS,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_LVL,ADC1_TOTAL,ADC1_GWR,ADC1_WR,ADC1_NB,ADC1_HOT,ADC1_FILL,ADC1_RANK,ADC1_KDA,ADC1_KDAG,ADC1_VS,ADC1_MAS,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_LVL,SUP1_TOTAL,SUP1_GWR,SUP1_WR,SUP1_NB,SUP1_HOT,SUP1_FILL,SUP1_RANK,SUP1_KDA,SUP1_KDAG,SUP1_VS,SUP1_MAS,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6140228604,0.0,481.0,237.0,0.5063291,1.0,1.0,0.0,0.0,1800.0,3.6666667,1.862069,0.0,975.0,1.0,0.0,1.0,1.0,136.0,309.0,0.49838188,0.5,4.0,0.0,0.0,1364.0,2.310345,2.0526316,0.4,57974.0,21.0,12.0,33.0,0.6363636,287.0,514.0,0.4844358,0.5,0.0,0.0,1.0,1275.0,0.0,1.6341463,1.2,12422.0,3.0,1.0,4.0,0.75,120.0,1110.0,0.5009009,0.5,0.0,0.0,0.0,1617.0,0.0,2.3703704,0.5,51215.0,39.0,43.0,82.0,0.47560975,278.0,485.0,0.48247424,0.5,0.0,0.0,1.0,1660.0,0.0,2.1052632,0.6,26030.0,10.0,4.0,14.0,0.71428573,243.0,100.0,0.52,0.4,5.0,0.0,0.0,1569.0,3.3636363,3.3636363,0.0,376840.0,61.0,56.0,117.0,0.52136755,237.0,606.0,0.49669966,0.33333334,3.0,0.0,0.0,1360.0,3.0,2.425,-0.4,91678.0,84.0,87.0,171.0,0.49122807,715.0,204.0,0.5392157,1.0,4.0,1.0,0.0,1601.0,6.5,5.076923,-1.2,772276.0,70.0,46.0,116.0,0.6034483,37.0,88.0,0.53409094,0.5,0.0,0.0,1.0,1620.0,0.0,1.5,-0.5,3226.0,2.0,5.0,7.0,0.2857143,201.0,171.0,0.54385966,0.5,0.0,0.0,0.0,1600.0,0.0,4.9333334,-0.6,127312.0,30.0,19.0,49.0,0.6122449
EUW1_6141546191,0.0,323.0,27.0,0.4074074,1.0,4.0,0.0,0.0,1271.0,2.55,2.1923077,0.0,91624.0,49.0,41.0,90.0,0.54444444,159.0,1039.0,0.5120308,0.5,0.0,0.0,0.0,1841.0,0.0,3.3157895,-0.7,26801.0,23.0,22.0,45.0,0.51111114,410.0,799.0,0.48060074,0.0,1.0,0.0,1.0,1863.0,1.2857143,3.5882354,0.6,56374.0,55.0,50.0,105.0,0.52380955,545.0,424.0,0.5070755,1.0,1.0,0.0,0.0,1814.0,8.5,3.851852,-1.7,148019.0,17.0,15.0,32.0,0.53125,672.0,1162.0,0.49913943,0.5,2.0,0.0,1.0,1755.0,4.0,1.7878788,-1.2,180514.0,20.0,16.0,36.0,0.5555556,491.0,1111.0,0.5067507,0.25,4.0,0.0,0.0,1822.0,2.0,2.4285715,0.0,47938.0,43.0,48.0,91.0,0.47252747,421.0,406.0,0.5073892,0.5,2.0,0.0,0.0,1828.0,3.1111112,2.8636363,0.7,152109.0,,,,,384.0,1493.0,0.49497655,0.0,1.0,0.0,0.0,1946.0,2.0,1.6333333,-0.6,82107.0,,,,,399.0,553.0,0.5063291,0.4,5.0,0.0,0.0,1837.0,2.5882354,2.5882354,1.7,338051.0,100.0,80.0,180.0,0.5555556,137.0,216.0,0.5601852,0.5,0.0,0.0,1.0,1825.0,0.0,1.5348837,1.2,4773.0,0.0,2.0,2.0,0.0
EUW1_6140416681,0.0,342.0,22.0,0.5,0.5,0.0,0.0,1.0,1122.0,0.0,4.2,-6.1,176711.0,,,,,313.0,36.0,0.44444445,0.5,0.0,0.0,1.0,1281.0,0.0,2.8823528,1.0,92519.0,0.0,0.0,0.0,0.5,703.0,204.0,0.4852941,0.5,0.0,0.0,1.0,1600.0,0.0,1.8787879,-2.4,165783.0,,,,,418.0,32.0,0.4375,0.5,0.0,0.0,1.0,825.0,0.0,1.962963,1.4,41464.0,0.0,0.0,0.0,0.5,486.0,169.0,0.47928995,0.5,0.0,0.0,1.0,1231.0,0.0,4.6,0.2,73508.0,,,,,473.0,454.0,0.48678413,0.0,1.0,0.0,1.0,1601.0,0.8333333,2.121951,6.1,70720.0,7.0,5.0,12.0,0.5833333,195.0,252.0,0.48412699,0.5,0.0,0.0,0.0,1200.0,0.0,2.2903225,-1.0,530580.0,96.0,90.0,186.0,0.516129,235.0,272.0,0.5110294,0.0,2.0,0.0,0.0,1744.0,2.0,3.2916667,2.4,23839.0,0.0,3.0,3.0,0.0,336.0,470.0,0.50212765,0.5,0.0,0.0,1.0,1122.0,0.0,1.475,-1.4,0.0,63.0,60.0,123.0,0.5121951,256.0,514.0,0.540856,0.5,0.0,0.0,1.0,1234.0,0.0,2.6551723,-0.2,114124.0,0.0,1.0,1.0,0.0
EUW1_6139592219,0.0,42.0,68.0,0.5441176,0.5,2.0,0.0,0.0,1530.0,1.2941177,1.4411764,-0.6,6799.0,6.0,4.0,10.0,0.6,42.0,69.0,0.5507246,0.5,0.0,0.0,0.0,1561.0,0.0,3.1304348,-1.9,4331.0,4.0,3.0,7.0,0.5714286,406.0,387.0,0.501292,0.0,3.0,0.0,0.0,1700.0,1.4230769,1.5,0.5,1034256.0,153.0,103.0,256.0,0.59765625,56.0,310.0,0.5258064,0.5,0.0,0.0,0.0,1751.0,0.0,1.4,1.6,19391.0,16.0,14.0,30.0,0.53333336,78.0,254.0,0.496063,0.5,0.0,0.0,1.0,1660.0,0.0,1.8285714,0.5,94078.0,58.0,51.0,109.0,0.5321101,149.0,128.0,0.5546875,0.25,4.0,0.0,0.0,1753.0,1.137931,0.8974359,0.6,95410.0,18.0,19.0,37.0,0.4864865,67.0,70.0,0.5857143,1.0,2.0,0.0,0.0,1806.0,1.4444444,2.1842105,1.9,33044.0,13.0,7.0,20.0,0.65,418.0,813.0,0.4907749,0.5,2.0,0.0,0.0,1734.0,2.8666666,2.121212,-0.5,1326525.0,206.0,203.0,409.0,0.5036675,351.0,778.0,0.4974293,0.5,4.0,0.0,0.0,1663.0,1.5882353,1.65,-1.6,193705.0,34.0,41.0,75.0,0.45333335,177.0,229.0,0.59388644,1.0,1.0,0.0,1.0,1816.0,11.0,3.6666667,-0.5,5675.0,3.0,0.0,3.0,1.0
EUW1_6045620377,1.0,307.0,215.0,0.5116279,0.5,0.0,0.0,1.0,1600.0,0.0,3.3888888,-1.9,15788.0,0.0,0.0,0.0,0.5,679.0,633.0,0.5244866,0.5,0.0,0.0,1.0,2001.0,0.0,2.6363637,-2.6,1115182.0,308.0,250.0,558.0,0.5519713,687.0,722.0,0.5166205,0.5,0.0,0.0,1.0,2030.0,0.0,1.25,0.7,1052393.0,87.0,77.0,164.0,0.5304878,441.0,620.0,0.5064516,1.0,1.0,0.0,1.0,1615.0,10.0,4.3076925,0.9,67438.0,10.0,6.0,16.0,0.625,160.0,1018.0,0.4793713,0.5,0.0,0.0,1.0,1260.0,0.0,1.21875,-5.8,213831.0,181.0,183.0,364.0,0.49725273,705.0,737.0,0.49932158,0.5,0.0,0.0,1.0,1779.0,0.0,4.214286,1.9,284236.0,37.0,26.0,63.0,0.5873016,552.0,218.0,0.48165137,0.5,0.0,0.0,0.0,1600.0,0.0,2.292683,2.6,115189.0,4.0,4.0,8.0,0.5,225.0,1100.0,0.52,0.5,0.0,0.0,0.0,1939.0,0.0,2.7619047,-0.7,16019.0,2.0,5.0,7.0,0.2857143,68.0,358.0,0.48603353,0.5,0.0,0.0,1.0,1611.0,0.0,1.9512196,-0.9,15345.0,8.0,9.0,17.0,0.47058824,558.0,191.0,0.4712042,0.5,0.0,0.0,0.0,1730.0,0.0,1.9117647,5.8,171930.0,5.0,8.0,13.0,0.3846154
EUW1_6135246508,1.0,61.0,142.0,0.5633803,0.5,0.0,0.0,1.0,1660.0,0.0,1.3529412,0.8,1382.0,1.0,1.0,2.0,0.5,44.0,164.0,0.5121951,0.5,0.0,0.0,1.0,1700.0,0.0,1.4347826,-0.9,41014.0,58.0,32.0,90.0,0.64444447,396.0,521.0,0.5028791,0.5,0.0,0.0,1.0,1828.0,0.0,2.2195122,3.8,8068.0,0.0,1.0,1.0,0.0,176.0,96.0,0.7083333,0.5,0.0,0.0,1.0,1600.0,0.0,3.9615386,-4.8,4173.0,1.0,2.0,3.0,0.33333334,41.0,142.0,0.5070422,0.4,5.0,0.0,0.0,1643.0,1.9375,1.9375,-1.0,68172.0,,,,,251.0,819.0,0.50915754,0.0,1.0,0.0,1.0,1830.0,0.2857143,1.7567568,-0.8,125199.0,,,,,519.0,451.0,0.49889135,1.0,2.0,0.0,0.0,1712.0,6.25,3.56,0.9,1559118.0,139.0,108.0,247.0,0.562753,545.0,846.0,0.49408984,0.5,0.0,0.0,1.0,1703.0,0.0,2.34375,-3.8,12894.0,3.0,7.0,10.0,0.3,90.0,219.0,0.5296804,0.0,1.0,0.0,0.0,2000.0,3.2857144,4.0588236,4.8,16223.0,4.0,5.0,9.0,0.44444445,73.0,69.0,0.5072464,0.8,5.0,1.0,0.0,1572.0,3.5263157,3.5263157,1.0,17766.0,11.0,1.0,12.0,0.9166667
EUW1_6139522758,0.0,78.0,588.0,0.5,0.0,1.0,0.0,0.0,1844.0,2.142857,2.0,0.0,67294.0,63.0,66.0,129.0,0.4883721,254.0,983.0,0.50050867,1.0,3.0,0.0,0.0,1725.0,3.5384614,2.235294,0.4,1370217.0,444.0,371.0,815.0,0.54478526,514.0,907.0,0.50496143,0.0,1.0,0.0,0.0,1844.0,0.71428573,1.46875,-1.5,438738.0,130.0,124.0,254.0,0.511811,464.0,378.0,0.5,1.0,3.0,0.0,0.0,1775.0,9.166667,5.5384617,0.2,364783.0,21.0,21.0,42.0,0.5,390.0,991.0,0.5105954,0.5,0.0,0.0,0.0,1734.0,0.0,1.65,-5.6,79293.0,30.0,26.0,56.0,0.53571427,509.0,579.0,0.4818653,0.0,2.0,0.0,0.0,1700.0,1.3333334,1.375,0.0,9763.0,8.0,6.0,14.0,0.5714286,362.0,241.0,0.5062241,0.33333334,3.0,0.0,0.0,1938.0,4.5,2.9473684,-0.4,80014.0,4.0,5.0,9.0,0.44444445,95.0,129.0,0.5116279,1.0,2.0,0.0,0.0,1784.0,7.1666665,4.6875,1.5,234985.0,40.0,30.0,70.0,0.5714286,458.0,1178.0,0.5,0.5,0.0,0.0,1.0,1850.0,0.0,1.36,-0.2,79753.0,11.0,17.0,28.0,0.39285713,451.0,829.0,0.51387215,1.0,1.0,0.0,0.0,1957.0,4.6666665,2.3265307,5.6,77244.0,,,,
EUW1_6016231829,1.0,232.0,592.0,0.49493244,0.5,0.0,0.0,1.0,1674.0,0.0,1.4150944,2.8,112564.0,5.0,7.0,12.0,0.41666666,68.0,265.0,0.53584903,0.5,0.0,0.0,0.0,2019.0,0.0,2.909091,3.0,18207.0,15.0,12.0,27.0,0.5555556,78.0,99.0,0.5252525,0.0,1.0,0.0,0.0,1720.0,3.3333333,2.15625,0.6,15088.0,5.0,8.0,13.0,0.3846154,521.0,1497.0,0.50501,0.5,0.0,0.0,1.0,1761.0,0.0,1.2115384,-3.1,231323.0,70.0,70.0,140.0,0.5,560.0,976.0,0.5081967,0.5,0.0,0.0,0.0,1615.0,0.0,2.325,-0.8,22656.0,8.0,7.0,15.0,0.53333336,48.0,179.0,0.5363129,0.5,0.0,0.0,1.0,1831.0,0.0,1.7307693,-2.8,15523.0,8.0,5.0,13.0,0.61538464,94.0,160.0,0.55625,0.5,0.0,0.0,0.0,1630.0,0.0,1.7142857,-3.0,3106.0,2.0,0.0,2.0,1.0,443.0,692.0,0.4884393,0.5,0.0,0.0,0.0,1729.0,0.0,1.6944444,-0.6,611177.0,35.0,35.0,70.0,0.5,201.0,266.0,0.5451128,0.5,4.0,0.0,0.0,1729.0,1.4,1.2156863,3.1,409119.0,128.0,92.0,220.0,0.58181816,53.0,149.0,0.557047,0.5,0.0,0.0,0.0,1975.0,0.0,4.529412,0.8,4613.0,0.0,2.0,2.0,0.0
EUW1_6121182130,0.0,265.0,192.0,0.5208333,0.0,1.0,1.0,0.0,1705.0,3.0,3.7333333,0.4,10674.0,3.0,3.0,6.0,0.5,230.0,288.0,0.53125,0.0,1.0,0.0,0.0,1700.0,1.6666666,1.2368422,3.0,38387.0,29.0,27.0,56.0,0.51785713,176.0,344.0,0.5552326,0.0,2.0,0.0,0.0,1713.0,1.7142857,1.0294118,-0.2,111674.0,45.0,45.0,90.0,0.5,81.0,256.0,0.49609375,0.5,0.0,0.0,0.0,1800.0,0.0,2.3235295,-6.5,18447.0,14.0,15.0,29.0,0.4827586,263.0,111.0,0.5315315,1.0,1.0,0.0,1.0,1622.0,4.5,2.8,0.7,727317.0,20.0,20.0,40.0,0.5,356.0,69.0,0.49275362,0.5,0.0,0.0,0.0,1848.0,0.0,1.4347826,-0.4,56804.0,17.0,24.0,41.0,0.41463414,261.0,209.0,0.49282297,0.5,0.0,0.0,1.0,1600.0,0.0,2.5757575,-3.0,2481.0,0.0,0.0,0.0,0.5,685.0,1165.0,0.5055794,0.5,0.0,0.0,0.0,1754.0,0.0,2.0,0.2,197609.0,50.0,48.0,98.0,0.5102041,488.0,282.0,0.5319149,0.5,0.0,0.0,1.0,1959.0,0.0,3.08,6.5,22710.0,1.0,2.0,3.0,0.33333334,311.0,315.0,0.4952381,0.4,5.0,0.0,0.0,1842.0,2.1818182,2.1818182,-0.7,456432.0,107.0,109.0,216.0,0.49537036
EUW1_6083671143,1.0,55.0,269.0,0.54275095,0.5,0.0,0.0,1.0,1868.0,0.0,2.0238094,-1.3,5998.0,4.0,6.0,10.0,0.4,45.0,190.0,0.5263158,0.5,0.0,0.0,1.0,1700.0,0.0,2.0196078,-1.7,18728.0,18.0,8.0,26.0,0.6923077,260.0,38.0,0.68421054,1.0,1.0,0.0,1.0,1552.0,2.0,1.5555556,-2.6,42715.0,15.0,12.0,27.0,0.5555556,524.0,769.0,0.48634592,0.5,0.0,0.0,1.0,1600.0,0.0,1.4888889,3.1,168301.0,2.0,3.0,5.0,0.4,635.0,1752.0,0.5045662,1.0,2.0,0.0,0.0,1773.0,10.2,4.090909,-0.9,94352.0,41.0,34.0,75.0,0.5466667,355.0,545.0,0.5302752,0.5,0.0,0.0,0.0,1833.0,0.0,1.28,1.3,74935.0,13.0,16.0,29.0,0.44827586,100.0,235.0,0.506383,0.6,5.0,0.0,0.0,1697.0,3.090909,3.090909,1.7,68166.0,,,,,134.0,370.0,0.51891893,0.5,0.0,0.0,1.0,1700.0,0.0,3.7142856,2.6,15244.0,6.0,4.0,10.0,0.6,59.0,312.0,0.5224359,0.5,0.0,0.0,0.0,1719.0,0.0,1.5945946,-3.1,44205.0,41.0,31.0,72.0,0.5694444,687.0,670.0,0.48208955,0.5,0.0,0.0,0.0,1660.0,0.0,1.4594594,0.9,325534.0,28.0,23.0,51.0,0.54901963
