,TOP0_name,TOP0_role,TOP0_champion,TOP0_winrate,TOP0_wins,TOP0_losses,JGL0_name,JGL0_role,JGL0_champion,JGL0_winrate,JGL0_wins,JGL0_losses,MID0_name,MID0_role,MID0_champion,MID0_winrate,MID0_wins,MID0_losses,ADC0_name,ADC0_role,ADC0_champion,ADC0_winrate,ADC0_wins,ADC0_losses,SUP0_name,SUP0_role,SUP0_champion,SUP0_winrate,SUP0_wins,SUP0_losses,TOP1_name,TOP1_role,TOP1_champion,TOP1_winrate,TOP1_wins,TOP1_losses,JGL1_name,JGL1_role,JGL1_champion,JGL1_winrate,JGL1_wins,JGL1_losses,MID1_name,MID1_role,MID1_champion,MID1_winrate,MID1_wins,MID1_losses,ADC1_name,ADC1_role,ADC1_champion,ADC1_winrate,ADC1_wins,ADC1_losses,SUP1_name,SUP1_role,SUP1_champion,SUP1_winrate,SUP1_wins,SUP1_losses
EUW1_6140228604,warpathdemon,TOP,KSante,0.5,1,1,gosojogos87,JGL,Udyr,0.6176470588235294,21,13,Hofs,MID,Vex,0.6,3,2,Gaddreel,ADC,Kaisa,0.46987951807228917,39,44,Yafe,SUP,Soraka,0.6666666666666666,10,5,CES Baptiti,TOP,Shen,0.5254237288135594,62,56,Feared sMg,JGL,Nocturne,0.4941860465116279,85,87,Dχmi,MID,Zoe,0.6068376068376068,71,46,xDarkkkk,ADC,Jhin,0.375,3,5,CES 6xray,SUP,Karma,0.62,31,19
EUW1_6141546191,griefin ,TOP,Sett,0.5384615384615384,49,42,BadPlayerGoodGuy,JGL,Hecarim,0.5,23,23,Jumple bow,MID,Sylas,0.5188679245283019,55,51,happylion4968,ADC,Caitlyn,0.5151515151515151,17,16,Kaél,SUP,Lux,0.5405405405405406,20,17,LCDJ Daraenth,TOP,KSante,0.4782608695652174,44,48,KaFa Denîm,JGL,Evelynn,-1.0,-1,-1,Ler Ler Ler e e,MID,Zed,-1.0,-1,-1,Sàsch,ADC,Jhin,0.5580110497237569,101,80,MΑSI,SUP,Xerath,0.3333333333333333,1,2
EUW1_6140416681,TheEmptyHole,TOP,Akali,-1.0,-1,-1,Maître Jardinier,JGL,Amumu,0.0,0,1,Maître Cuisinier,MID,Yasuo,-1.0,-1,-1,JustVIIX,ADC,Samira,0.0,0,1,MangeurDAligator,SUP,Malphite,-1.0,-1,-1,Þro Gamer,TOP,Singed,0.6153846153846154,8,5,C A D 0 C,JGL,Rengar,0.5187165775401069,97,90,Jisig,MID,Anivia,0.0,0,3,HopHopStop,ADC,Seraphine,0.5161290322580645,64,60,Bill Big Bollox,SUP,Senna,0.5,1,1
EUW1_6139592219,kltkqtv,TOP,Warwick,0.5454545454545454,6,5,cyohwwz,JGL,Graves,0.5,4,4,Fireboard,MID,Katarina,0.5953307392996109,153,104,GIO15,ADC,MissFortune,0.5161290322580645,16,15,HelloIamNotToxic,SUP,Senna,0.5272727272727272,58,52,ChillAndPlayy,TOP,Sett,0.5,19,19,zolly mauls em,JGL,Udyr,0.6666666666666666,14,7,HH FaxD,MID,Lissandra,0.5048780487804878,207,203,Djungelkatten,ADC,Caitlyn,0.4605263157894737,35,41,Froggy000,SUP,Karma,1.0,4,0
EUW1_6045620377,orbesson,TOP,Aatrox,1.0,1,0,theking4121,JGL,Evelynn,0.552772808586762,309,250,Elijah,MID,Taliyah,0.5333333333333333,88,77,Talletus ,ADC,Caitlyn,0.6470588235294118,11,6,Bixyfito,SUP,Yuumi,0.4986301369863014,182,183,winkin02,TOP,Irelia,0.578125,37,27,Witlof Man,JGL,Skarner,0.4444444444444444,4,5,Díssønance,MID,Rumble,0.25,2,6,p3forever,ADC,Ezreal,0.4444444444444444,8,10,BoostedAxton,SUP,Ashe,0.35714285714285715,5,9
EUW1_6135246508,Petit Burlock,TOP,Fiora,0.6666666666666666,2,1,DragonSlay369,JGL,Khazix,0.6483516483516484,59,32,Anwar REVEIL OIT,MID,Swain,0.5,1,1,kinom,ADC,Aphelios,0.5,2,2,CyberHelper,SUP,Renata,-1.0,-1,-1,Jens Iyn,TOP,Yasuo,-1.0,-1,-1,KimooLee,JGL,Elise,0.5604838709677419,139,109,Itorio,MID,Vex,0.2727272727272727,3,8,HST BetterBotWin,ADC,Draven,0.4,4,6,Earl Ragna,SUP,Soraka,0.8461538461538461,11,2
EUW1_6139522758,delusional enemy,TOP,Camille,0.4846153846153846,63,67,vTranscendencja,JGL,Rengar,0.5441176470588235,444,372,Stradixe,MID,Ekko,0.5098039215686274,130,125,ImAlno,ADC,Kaisa,0.4883720930232558,21,22,castle,SUP,Thresh,0.5263157894736842,30,27,DödgeIfAutofill,TOP,KSante,0.6,9,6,Daarío Naharís,JGL,Graves,0.5,5,5,ryruxd,MID,Fizz,0.5774647887323944,41,30,ENIGMA666,ADC,Caitlyn,0.41379310344827586,12,17,Schwalbe,SUP,Renata,-1.0,-1,-1
EUW1_6016231829,I miss u LilPeep,TOP,Shen,0.46153846153846156,6,7,Pandagod,JGL,Shyvana,0.5714285714285714,16,12,IlIllIIIIllI,MID,Sylas,0.42857142857142855,6,8,Maccheronialsugo,ADC,Ezreal,0.5035460992907801,71,70,maxdemonbe,SUP,Zilean,0.5625,9,7,jujimufu,TOP,Irelia,0.5714285714285714,8,6,Brain Blast,JGL,Skarner,0.6666666666666666,2,1,DuskBrìnger,MID,Zed,0.49295774647887325,35,36,NorZen78,ADC,Cassiopeia,0.579185520361991,128,93,Plebington,SUP,Amumu,0.0,0,3
EUW1_6121182130,TFP Bowser,TOP,Ornn,0.42857142857142855,3,4,JonaBonna19,JGL,Belveth,0.5087719298245614,29,28,The QenNyeS,MID,Zed,0.4945054945054945,45,46,Daddy LovesPoppy,ADC,Zeri,0.4666666666666667,14,16,Anasui Narciso,SUP,Thresh,0.4878048780487805,20,21,Randomguy xy,TOP,Camille,0.42857142857142855,18,24,Twix G,JGL,Talon,1.0,1,0,Dninja,MID,Malzahar,0.5151515151515151,51,48,paradοx,ADC,Samira,0.5,2,2,Zykalus,SUP,Lulu,0.4976958525345622,108,109
EUW1_6083671143,Yensongonan,TOP,Darius,0.45454545454545453,5,6,Nondalbyr,JGL,MasterYi,0.7037037037037037,19,8,L0rdFluffinstein,MID,Gragas,0.5714285714285714,16,12,Zicooo,ADC,Kaisa,0.5,3,3,Włodar,SUP,Thresh,0.5526315789473685,42,34,Depraved Lunatic,TOP,Pantheon,0.43333333333333335,13,17,l go feed sry,JGL,Zac,-1.0,-1,-1,Pnigm0s,MID,Viktor,0.5454545454545454,6,5,Invidion,ADC,Ezreal,0.5616438356164384,41,32,FateSpace,SUP,Soraka,0.5384615384615384,28,24
