,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6140228604,1.0,0.0,1.0,1.0,21.0,12.0,33.0,0.6363636363636364,3.0,1.0,4.0,0.75,39.0,43.0,82.0,0.47560975609756095,10.0,4.0,14.0,0.7142857142857143,61.0,56.0,117.0,0.5213675213675214,84.0,87.0,171.0,0.49122807017543857,70.0,46.0,116.0,0.603448275862069,2.0,5.0,7.0,0.2857142857142857,30.0,19.0,49.0,0.6122448979591837
EUW1_6141546191,49.0,41.0,90.0,0.5444444444444444,23.0,22.0,45.0,0.5111111111111111,55.0,50.0,105.0,0.5238095238095238,17.0,15.0,32.0,0.53125,20.0,16.0,36.0,0.5555555555555556,43.0,48.0,91.0,0.4725274725274725,,,,,,,,,100.0,80.0,180.0,0.5555555555555556,0.0,2.0,2.0,0.0
EUW1_6140416681,,,,,0.0,0.0,0.0,0.5,,,,,0.0,0.0,0.0,0.5,,,,,7.0,5.0,12.0,0.5833333333333334,96.0,90.0,186.0,0.5161290322580645,0.0,3.0,3.0,0.0,63.0,60.0,123.0,0.5121951219512195,0.0,1.0,1.0,0.0
EUW1_6139592219,6.0,4.0,10.0,0.6,4.0,3.0,7.0,0.5714285714285714,153.0,103.0,256.0,0.59765625,16.0,14.0,30.0,0.5333333333333333,58.0,51.0,109.0,0.5321100917431193,18.0,19.0,37.0,0.4864864864864865,13.0,7.0,20.0,0.65,206.0,203.0,409.0,0.5036674816625917,34.0,41.0,75.0,0.4533333333333333,3.0,0.0,3.0,1.0
EUW1_6045620377,0.0,0.0,0.0,0.5,308.0,250.0,558.0,0.5519713261648745,87.0,77.0,164.0,0.5304878048780488,10.0,6.0,16.0,0.625,181.0,183.0,364.0,0.49725274725274726,37.0,26.0,63.0,0.5873015873015873,4.0,4.0,8.0,0.5,2.0,5.0,7.0,0.2857142857142857,8.0,9.0,17.0,0.47058823529411764,5.0,8.0,13.0,0.38461538461538464
EUW1_6135246508,1.0,1.0,2.0,0.5,58.0,32.0,90.0,0.6444444444444445,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.3333333333333333,,,,,,,,,139.0,108.0,247.0,0.562753036437247,3.0,7.0,10.0,0.3,4.0,5.0,9.0,0.4444444444444444,11.0,1.0,12.0,0.9166666666666666
EUW1_6139522758,63.0,66.0,129.0,0.4883720930232558,444.0,371.0,815.0,0.5447852760736196,130.0,124.0,254.0,0.5118110236220472,21.0,21.0,42.0,0.5,30.0,26.0,56.0,0.5357142857142857,8.0,6.0,14.0,0.5714285714285714,4.0,5.0,9.0,0.4444444444444444,40.0,30.0,70.0,0.5714285714285714,11.0,17.0,28.0,0.39285714285714285,,,,
EUW1_6016231829,5.0,7.0,12.0,0.4166666666666667,15.0,12.0,27.0,0.5555555555555556,5.0,8.0,13.0,0.38461538461538464,70.0,70.0,140.0,0.5,8.0,7.0,15.0,0.5333333333333333,8.0,5.0,13.0,0.6153846153846154,2.0,0.0,2.0,1.0,35.0,35.0,70.0,0.5,128.0,92.0,220.0,0.5818181818181818,0.0,2.0,2.0,0.0
EUW1_6121182130,3.0,3.0,6.0,0.5,29.0,27.0,56.0,0.5178571428571429,45.0,45.0,90.0,0.5,14.0,15.0,29.0,0.4827586206896552,20.0,20.0,40.0,0.5,17.0,24.0,41.0,0.4146341463414634,0.0,0.0,0.0,0.5,50.0,48.0,98.0,0.5102040816326531,1.0,2.0,3.0,0.3333333333333333,107.0,109.0,216.0,0.49537037037037035
EUW1_6083671143,4.0,6.0,10.0,0.4,18.0,8.0,26.0,0.6923076923076923,15.0,12.0,27.0,0.5555555555555556,2.0,3.0,5.0,0.4,41.0,34.0,75.0,0.5466666666666666,13.0,16.0,29.0,0.4482758620689655,,,,,6.0,4.0,10.0,0.6,41.0,31.0,72.0,0.5694444444444444,28.0,23.0,51.0,0.5490196078431373
