;MI Scores
JGL1_TOTAL;0.8541520250983776
ADC0_TOTAL;0.7677885545152181
TOP0_TOTAL;0.7020295351521799
SUP1_LVL;0.6920294686193182
JGL0_TOTAL;0.6829094839997438
ADC1_LVL;0.6782584657301269
ADC1_TOTAL;0.6649298461488797
SUP0_TOTAL;0.6552759113810076
TOP1_LVL;0.6397697302719791
JGL0_LVL;0.6392157013083963
ADC0_LVL;0.6360338052086805
SUP1_TOTAL;0.6353627908655701
JGL1_LVL;0.6337627744239231
MID0_TOTAL;0.6333202641302904
MID1_TOTAL;0.6220219492188539
TOP1_TOTAL;0.6037959506066484
MID1_LVL;0.6004853290603958
MID0_LVL;0.5896196609762292
MID1_RANK;0.5680599984724521
SUP0_LVL;0.5552076543280435
MID0_RANK;0.5507077268182909
ADC0_RANK;0.5305122160435145
JGL0_RANK;0.523961943309998
TOP0_RANK;0.5090876817906063
SUP1_RANK;0.506262825363371
TOP0_LVL;0.5027807032656266
TOP1_RANK;0.49262378436550414
ADC1_RANK;0.4574724193456783
SUP0_RANK;0.44796674613032916
JGL1_RANK;0.3933262539004163
JGL1_CHAMP;0.07924380643453777
MID0_CHAMP;0.07173542527246735
TOP1_CHAMP;0.06927703608904423
MID1_CHAMP;0.06503800683721561
JGL0_CHAMP;0.02712699395199092
JGL1_KDA_Ratio;0.025287424393650504
TOP0_CHAMP;0.025235486653638617
MID0_VET;0.023781429066323412
TOP1_GWR;0.020887373149829358
MID0_WR;0.019499218485074188
TOP0_HOT;0.01892028524280054
SUP1_GWR;0.01824039265190347
JGL0_GWR;0.017987192924254103
ADC0_FILL;0.016892913695495615
JGL0_FILL;0.016149223692782044
JGL1_NB;0.015862037341726865
ADC1_VET;0.015819768330234574
MID1_HOT;0.015792777154358895
TOP0_WR;0.01463833539383419
MID0_GWR;0.014202455602196906
SUP0_CHAMP;0.01313096438620498
SUP0_FILL;0.011965843387615749
SUP1_KDA_Ratio;0.011214301117743908
JGL1_WR;0.011043077231181364
ADC0_NB;0.010804299658385474
SUP1_NB;0.010519750029656993
ADC1_KDA_Ratio;0.009577391695894555
TOP1_HOT;0.008898030037973292
ADC1_CHAMP;0.008470531449444874
SUP0_HOT;0.00821232958834095
SUP0_VET;0.007985684064372833
SUP0_KDA_Ratio;0.0077658592341114385
JGL0_NB;0.0077528352181470694
MID1_FILL;0.007018950883753483
TOP1_VET;0.005702081739024756
TOP0_KDA_Ratio;0.0054168962078158245
JGL1_GWR;0.003972175995547111
MID0_HOT;0.0028940231919909465
MID0_KDA_Ratio;0.002814334117129391
SUP0_NB;0.0028012212329380226
MID1_VET;0.0024110040486879925
JGL0_KDA_Ratio;0.002392778278097474
TOP1_NB;0.0022799891662903526
SUP1_CHAMP;0.0017105303161430996
TOP1_WR;0.00040678541348171393
TOP0_VET;0.0
SUP1_HOT;0.0
SUP1_WR;0.0
SUP1_VET;0.0
SUP1_FILL;0.0
TOP1_KDA_Ratio;0.0
ADC1_WR;0.0
ADC0_KDA_Ratio;0.0
TOP0_GWR;0.0
MID1_KDA_Ratio;0.0
ADC1_FILL;0.0
ADC1_NB;0.0
ADC0_WR;0.0
ADC1_HOT;0.0
TOP0_NB;0.0
ADC0_HOT;0.0
ADC0_VET;0.0
SUP0_GWR;0.0
ADC0_GWR;0.0
SUP0_WR;0.0
ADC0_CHAMP;0.0
MID0_FILL;0.0
MID0_NB;0.0
TOP1_FILL;0.0
JGL1_VET;0.0
JGL1_HOT;0.0
JGL1_FILL;0.0
JGL0_WR;0.0
JGL0_HOT;0.0
JGL0_VET;0.0
MID1_WR;0.0
MID1_NB;0.0
TOP0_FILL;0.0
ADC1_GWR;0.0
MID1_GWR;0.0
